Type,Place,Year,Foreign Number,Foreign Income,Local Number,Local Income
Wildlife Park,Hurulu Eco Park,2020,57752.66666666667,35655620.93333333,14241.333333333334,974470.0
Wildlife Park,Kalawewa,2020,0.0,0.0,410.0,16400.0
Wildlife Park,Kaudulla,2020,118.0,166238.0,15690.0,486720.0
Wildlife Park,Kumana,2020,570.0,1081675.0,14334.0,734120.0
Wildlife Park,Kumana Bird Sanctuary,2020,11471.0,0.07,0.0,0.0
Wildlife Park,Lahugala,2020,0.0,0.0,299.0,11060.0
Wildlife Park,Lunugamwehera,2020,189.0,349236.0,1857.0,83180.0
Wildlife Park,Maduruoya,2020,161.0,303375.0,1811.0,83740.0
Wildlife Park,Minneriya,2020,1520.0,4113122.0,27060.0,1564890.0
Wildlife Park,Mirissa,2020,43234.0,75363078.0,3412.0,379003.0
Wildlife Park,Pigeon Island,2020,1181.0,2119130.0,28114.0,1086050.0
Wildlife Park,Udawalawa,2020,53507.0,144079040.0,67953.0,3964530.0
Wildlife Park,Wasgomuwa,2020,626.0,269628.0,9461.0,244980.0
Wildlife Park,Wilpattu,2020,7365.0,19869736.0,31737.0,1885079.0
Wildlife Park,Yala,2020,67137.0,179408732.0,161330.0,16195691.0
Zoological Garden,Dehiwala,2020,5058.0,9662100.0,301897.0,28536370.0
Zoological Garden,Pinnawala,2020,48326.0,102508650.0,126214.0,11178680.0
Zoological Garden,Pinnawala,2020,704.0,481950.0,94277.0,8686750.0
Zoological Garden,Ridiyagama Safari Park,2020,401.0,1066400.0,106821.0,29654420.0
Botanical Garden,Avissawella,2021,175.66666666666666,358174.3333333333,156979.66666666666,15445216.666666666
Botanical Garden,Gampaha,2021,112.33333333333333,526833.3333333333,88414.66666666667,9881220.0
Botanical Garden,Ganewattha,2021,3.0,6333.333333333334,480.3333333333333,49180.0
Botanical Garden,Hakgala,2021,8656.0,19412633.333333336,323392.0,32336886.666666664
Botanical Garden,Mirijawila,2021,233.25,541050.0,47087.5,3746515.0
Botanical Garden,Mirijjawila Botanical Garden,2021,507.0,1114925.0,77534.5,5681620.0
Botanical Garden,Peradeniya,2021,128928.33333333334,187473926.66666666,565593.6666666666,57851330.0
Conservation Forest,Adahalena Ella (Galle),2021,0.0,0.0,0.0,0.0
Conservation Forest,Badagamuwa Ecological Zone,2021,0.0,0.0,0.0,0.0
Conservation Forest,Badulla,2021,0.0,0.0,0.0,0.0
Conservation Forest,Badulla Haputhale,2021,0.0,0.0,0.0,0.0
Conservation Forest,Dolukanda,2021,0.0,0.0,0.0,0.0
Conservation Forest,Ek Gal Oya,2021,0.0,0.0,0.0,0.0
Conservation Forest,Gal Oya,2021,0.0,0.0,0.0,0.0
Conservation Forest,Galwila Eco Park,2021,0.0,0.0,0.0,0.0
Conservation Forest,Geradigala,2021,0.0,0.0,0.0,0.0
Conservation Forest,Hurulu Eco Park,2021,52717.333333333336,74194730.33333333,28769.666666666668,3420441.0
Conservation Forest,Kande Ela Forest,2021,0.0,0.0,123.66666666666667,4448.0
Conservation Forest,Kande Ela Nuwara Eliya,2021,0.0,0.0,0.0,0.0
Conservation Forest,Kanneliya Conservation Forest,2021,1154.0,965153.6666666667,23885.666666666668,1176285.0
Conservation Forest,Knuckles Conservation Forest,2021,6321.333333333333,1233410.0,66515.0,3060444.0
Conservation Forest,Kottawa Conservation Forest,2021,106.0,64194.33333333333,994.3333333333334,40672.0
Conservation Forest,Kurulukele,2021,0.0,0.0,588.3333333333334,31663.333333333332
Conservation Forest,Makandawa Conservation Forest,2021,185.66666666666666,137217.66666666666,497.0,26726.0
Conservation Forest,Mandaramnuwara,2021,0.0,0.0,0.0,0.0
Conservation Forest,Nuwaragala,2021,0.0,0.0,0.0,0.0
Conservation Forest,Piduruthalagala,2021,0.0,0.0,0.0,0.0
Conservation Forest,Rathna Ella,2021,213.33333333333334,157481.0,2362.0,128255.0
Conservation Forest,Rathna Ella (Kandy),2021,0.0,0.0,0.0,0.0
Conservation Forest,Sinharaja Conservation Forest,2021,7859.333333333334,6632063.0,29279.666666666668,1968709.3333333333
Conservation Forest,Udawattakele Conservation Forest,2021,3847.6666666666665,3024117.3333333335,14525.0,644818.6666666667
Conservation Forest,Yahangala,2021,0.0,0.0,0.0,0.0
Cultural Triangle,Abhayagiriya,2021,572.0,3761367.0,16103.666666666666,771446.6666666667
Cultural Triangle,Apegama,2021,895.0,628904.0,12547.0,827030.0
Cultural Triangle,Buduruwagala,2021,7665.333333333333,4925630.666666667,0.0,0.0
Cultural Triangle,Dambulla,2021,8705.0,3124430.0,0.0,0.0
Cultural Triangle,Dambulla Museum,2021,292.6666666666667,140346.55555555556,630.5555555555555,39266.666666666664
Cultural Triangle,Galle,2021,3683.0,2897957.0,8387.0,330835.0
Cultural Triangle,Galle Museum,2021,11491.0,14029128.64888889,52821.555555555555,3168992.222222222
Cultural Triangle,Ibbankatuwa,2021,2119.0,1035992.0,10138.0,190310.0
Cultural Triangle,Ibbankatuwa Ancient Burial Ground,2021,845.5,376118.995,24695.5,1156415.0
Cultural Triangle,Jaffna Fort,2021,0.0,0.0,0.0,0.0
Cultural Triangle,Jethawanaya,2021,24610.666666666668,141514011.0,5268.666666666667,444824.3333333333
Cultural Triangle,Kandy,2021,45.0,8196.0,1008.0,17420.0
Cultural Triangle,Kandy Museum,2021,195.44444444444446,55265.94666666666,7735.222222222223,268519.1111111111
Cultural Triangle,Kataragama,2021,805.0,524524.0,1584.0,29200.0
Cultural Triangle,Kataragama Museum,2021,59.111111111111114,82615.55555555556,6677.111111111111,304944.44444444444
Cultural Triangle,Lahugala,2021,72.0,22505.6,239.2,8848.0
Cultural Triangle,Namal Uyana,2021,475.0,463268.6666666667,30098.333333333332,886736.0
Cultural Triangle,Polonnaruwa,2021,68316.33333333333,397179734.3333334,18366.666666666668,1234841.6666666665
Cultural Triangle,Ramba,2021,31.333333333333332,20612.666666666664,0.0,0.0
Cultural Triangle,Rathugala,2021,0.0,0.0,0.0,0.0
Cultural Triangle,Ritigala,2021,0.0,0.0,19124.0,336710.0
Cultural Triangle,Ritigala Forest Monastery,2021,8164.0,5965204.0,41673.5,1122099.0
Cultural Triangle,Sigiriya,2021,159925.66666666666,1149445924.3333335,330632.6666666666,25522766.666666664
Cultural Triangle,Trincomalee,2021,0.0,0.0,0.0,0.0
Cultural Triangle,Yapahuwa,2021,15.0,13660.0,0.0,0.0
Museum,Anuradapura Folk Museum,2021,126.0,12600.0,724.0,2748.0
Museum,Anuradhapura Folk Museum,2021,16.666666666666664,5000.0,1106.6666666666665,17366.666666666664
Museum,Colombo National Museum,2021,18723.000033333334,21222647.666706666,77001.6667,4635510.00004
Museum,Dambulla Museum,2021,298.3333333333333,134674.44444444444,616.4444444444445,33033.33333333333
Museum,Dutch Museum,2021,0.0,0.0,0.0,0.0
Museum,Galle Maritime Museum,2021,1878.6666666666665,832800.0,19952.666666666664,562385.0
Museum,Galle Museum,2021,11725.0,13266800.811111111,52514.444444444445,2836252.777777778
Museum,Galle National Museum,2021,2022.0,881433.3333333333,14800.666666666666,399601.6666666667
Museum,Hambantota National Museum,2021,90.66666666666667,48600.0,934.6666666666666,28203.333333333332
